source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type
AgCensus2015-16 T14-16 All/Large/area/MvF,AgCensus2015-16,T14-16,All,Large,area,MvF,gender,men,women,6,6,0,0,diff,a,,,,percent,SYNTHETIC,23.33,6.86,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Jharkhand,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,a,,,,percent,SYNTHETIC,45.61,25.98,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/SC/area/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Jharkhand,SC,area,Semi-mediumvsMedium,landholding,semi-medium operated area,medium operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,6.84,10.57,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/SC/area/SmallvsMedium,AgCensus2015-16,T2-4,Jharkhand,SC,area,SmallvsMedium,landholding,small operated area,medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,32.82,35.63,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/SC/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Jharkhand,SC,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,18.78,21.23,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Jharkhand,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,27.17,7.58,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Jharkhand,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,48.22,24.63,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Jharkhand,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,45.64,34.18,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/SC/number/MarginalvsSmall,AgCensus2015-16,T2-4,Jharkhand,SC,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,17.74,5.61,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/SC/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Jharkhand,SC,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,3,0,0,3,equal,c,,,,percent,SYNTHETIC,14.25,17.66,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/SC/number/SmallvsLarge,AgCensus2015-16,T2-4,Jharkhand,SC,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,36.89,14.31,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/ST/area/MarginalvsSmall,AgCensus2015-16,T2-4,Jharkhand,ST,area,MarginalvsSmall,landholding,marginal operated area,small operated area,1,0,0,1,equal,c,,,,percent,SYNTHETIC,9.46,14.07,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/ST/area/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Jharkhand,ST,area,Semi-mediumvsMedium,landholding,semi-medium operated area,medium operated area,1,1,0,0,equal,c,,,,percent,SYNTHETIC,22.23,23.78,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/ST/area/SmallvsLarge,AgCensus2015-16,T2-4,Jharkhand,ST,area,SmallvsLarge,landholding,small operated area,large operated area,1,0,0,1,equal,c,,,,percent,SYNTHETIC,21.32,22.94,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Jharkhand,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,47.03,25.52,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Jharkhand,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,53.86,30.94,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Jharkhand,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,29.26,8.08,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/ST/number/SmallvsLarge,AgCensus2015-16,T2-4,Jharkhand,ST,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,32.65,19.77,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Jharkhand,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,27.44,5.59,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/ST/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Jharkhand,ST,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,4,4,0,0,equal,c,,,,percent,SYNTHETIC,31.73,32.98,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/Semi-medium/area/SCvsOthers,AgCensus2015-16,T2-4,Jharkhand,Semi-medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,23.16,41.84,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/Semi-medium/area/SCvsST,AgCensus2015-16,T2-4,Jharkhand,Semi-medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,percent,SYNTHETIC,16.5,40.05,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/Semi-medium/area/STvsOthers,AgCensus2015-16,T2-4,Jharkhand,Semi-medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,8,8,0,0,equal,c,,,,percent,SYNTHETIC,22.95,23.73,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/Semi-medium/number/SCvsOthers,AgCensus2015-16,T2-4,Jharkhand,Semi-medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,29.94,46.8,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Jharkhand,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,percent,SYNTHETIC,6.06,25.83,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Jharkhand,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,8,0,0,8,equal,c,,,,percent,SYNTHETIC,30.45,34.78,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/Small/area/SCvsOthers,AgCensus2015-16,T2-4,Jharkhand,Small,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,16.11,41.02,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/Small/area/SCvsST,AgCensus2015-16,T2-4,Jharkhand,Small,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,percent,SYNTHETIC,17.7,41.9,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Jharkhand,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,13.95,38.27,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Jharkhand/Small/number/SCvsST,AgCensus2015-16,T2-4,Jharkhand,Small,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,percent,SYNTHETIC,18.27,37.4,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/All Classes/area/SCvsOthers,AgCensus2015-16,T2-4,Karnataka,All Classes,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,27.34,46.24,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Karnataka,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,percent,SYNTHETIC,17.87,21.45,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/All Classes/area/STvsOthers,AgCensus2015-16,T2-4,Karnataka,All Classes,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,22.34,33.0,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Karnataka,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,7.12,19.57,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Karnataka,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,1,0,diff,b,,,,percent,SYNTHETIC,14.88,29.97,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/All/area/MarginalvsMedium,AgCensus2015-16,T2-4,Karnataka,All,area,MarginalvsMedium,landholding,marginal operated area,medium operated area,2,2,0,0,equal,c,,,,percent,SYNTHETIC,29.27,33.41,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/All/area/SmallvsMedium,AgCensus2015-16,T2-4,Karnataka,All,area,SmallvsMedium,landholding,small operated area,medium operated area,4,0,0,4,equal,c,,,,percent,SYNTHETIC,34.78,36.77,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Karnataka,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,23.94,24.06,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Karnataka,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,27.87,11.16,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Karnataka,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,42.33,25.61,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/All/number/MediumvsLarge,AgCensus2015-16,T2-4,Karnataka,All,number,MediumvsLarge,landholding,medium holdings,large holdings,4,0,0,4,equal,c,,,,percent,SYNTHETIC,12.16,14.27,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Karnataka,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,36.94,18.17,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Karnataka,All,number,SmallvsMedium,landholding,small holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,22.17,5.99,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/All/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Karnataka,All,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,37.81,25.24,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Large/area/SCvsOthers,AgCensus2015-16,T2-4,Karnataka,Large,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,24.18,34.62,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Large/area/SCvsST,AgCensus2015-16,T2-4,Karnataka,Large,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,27.96,30.06,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Large/area/STvsOthers,AgCensus2015-16,T2-4,Karnataka,Large,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,17.11,34.88,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Large/number/SCvsOthers,AgCensus2015-16,T2-4,Karnataka,Large,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,23.74,37.36,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Large/number/SCvsST,AgCensus2015-16,T2-4,Karnataka,Large,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,percent,SYNTHETIC,33.12,33.92,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Large/number/STvsOthers,AgCensus2015-16,T2-4,Karnataka,Large,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,11.02,28.78,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Marginal/area/SCvsOthers,AgCensus2015-16,T2-4,Karnataka,Marginal,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,1,0,diff,b,,,,percent,SYNTHETIC,31.75,48.32,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Marginal/area/STvsOthers,AgCensus2015-16,T2-4,Karnataka,Marginal,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,1,0,diff,b,,,,percent,SYNTHETIC,10.28,25.47,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Karnataka,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,23.37,42.54,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Karnataka,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,24.2,40.27,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Medium/area/SCvsOthers,AgCensus2015-16,T2-4,Karnataka,Medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,27.29,42.36,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Medium/area/SCvsST,AgCensus2015-16,T2-4,Karnataka,Medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,13.85,15.47,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Medium/area/STvsOthers,AgCensus2015-16,T2-4,Karnataka,Medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,5.95,25.78,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Medium/number/SCvsOthers,AgCensus2015-16,T2-4,Karnataka,Medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,11.73,35.48,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Medium/number/SCvsST,AgCensus2015-16,T2-4,Karnataka,Medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,25.82,29.5,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Karnataka,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,13.9,34.06,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/SC/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Karnataka,SC,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,20.91,23.75,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Karnataka,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,32.98,14.29,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Karnataka,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,31.61,12.68,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Karnataka,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,41.49,28.68,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/SC/number/MarginalvsSmall,AgCensus2015-16,T2-4,Karnataka,SC,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,31.01,8.13,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/SC/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Karnataka,SC,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,45.23,32.89,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/SC/number/SmallvsLarge,AgCensus2015-16,T2-4,Karnataka,SC,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,43.18,30.71,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/SC/number/SmallvsMedium,AgCensus2015-16,T2-4,Karnataka,SC,number,SmallvsMedium,landholding,small holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,40.31,17.39,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/SC/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Karnataka,SC,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,26.23,7.82,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/area/MarginalvsMedium,AgCensus2015-16,T2-4,Karnataka,ST,area,MarginalvsMedium,landholding,marginal operated area,medium operated area,1,1,0,0,equal,c,,,,percent,SYNTHETIC,23.9,26.2,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Karnataka,ST,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,1,1,0,0,equal,c,,,,percent,SYNTHETIC,17.4,17.72,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Karnataka,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,41.54,18.45,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Karnataka,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,43.66,23.16,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Karnataka,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,40.47,17.01,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Karnataka,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,41.27,18.44,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Karnataka,ST,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,36.2,20.49,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/number/SmallvsLarge,AgCensus2015-16,T2-4,Karnataka,ST,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,20.7,10.22,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Karnataka,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,36.37,24.5,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/ST/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Karnataka,ST,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,36.81,18.97,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Semi-medium/area/SCvsOthers,AgCensus2015-16,T2-4,Karnataka,Semi-medium,area,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,11.94,25.07,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Semi-medium/area/SCvsST,AgCensus2015-16,T2-4,Karnataka,Semi-medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,6.31,6.47,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Semi-medium/area/STvsOthers,AgCensus2015-16,T2-4,Karnataka,Semi-medium,area,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,29.91,41.07,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
AgCensus2015-16 T2-4 Karnataka/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Karnataka,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,percent,SYNTHETIC,16.03,18.92,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,
