source_cell,edition,table,state,size_class,metric,comparison,axis,group1,group2,n_items_total,n_items_train,n_items_validation,n_items_test,frozen_condition,frozen_gold_letter,page_or_sheet,source_url_or_doc_hash,extraction_method,units,denominator_or_stratum,group1_value,group2_value,notes,verification_status,checker,checked_date,second_checker,adjudicated_date,discrepancy_type,recomputed_condition,recomputed_gold,agrees_with_frozen
AgCensus2015-16 T14-16 All/Large/area/MvF,AgCensus2015-16,T14-16,All,Large,area,MvF,gender,men,women,6,6,0,0,diff,a,,,,percent,SYNTHETIC,41.11,22.49,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Kerala/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Kerala,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,86.89,59.14,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Kerala/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Kerala,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,62.09,34.62,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Kerala/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Kerala,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,56.16,37.7,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Kerala/ST/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Kerala,ST,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,2,2,0,0,equal,c,,,,percent,SYNTHETIC,43.05,47.37,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Kerala/Semi-medium/number/SCvsOthers,AgCensus2015-16,T2-4,Kerala,Semi-medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,58.29,81.62,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Kerala/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Kerala,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,percent,SYNTHETIC,48.86,50.51,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Kerala/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Kerala,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,43.65,59.12,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Kerala/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Kerala,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,56.01,70.26,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Kerala/Small/number/STvsOthers,AgCensus2015-16,T2-4,Kerala,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,56.42,67.43,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Madhya Pradesh/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,46.86,74.2,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Madhya Pradesh/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,55.18,74.8,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Madhya Pradesh/All/area/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Madhya Pradesh,All,area,Semi-mediumvsMedium,landholding,semi-medium operated area,medium operated area,3,3,0,0,equal,c,,,,percent,SYNTHETIC,52.58,53.61,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Madhya Pradesh/All/area/SmallvsMedium,AgCensus2015-16,T2-4,Madhya Pradesh,All,area,SmallvsMedium,landholding,small operated area,medium operated area,4,0,0,4,equal,c,,,,percent,SYNTHETIC,38.6,43.03,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Madhya Pradesh/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Madhya Pradesh,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,49.0,52.75,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Madhya Pradesh/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Madhya Pradesh,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,48.17,36.47,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/All/number/MarginalvsMedium,AgCensus2015-16,T2-4,Madhya Pradesh,All,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,61.25,42.89,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Madhya Pradesh,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,71.85,53.82,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Madhya Pradesh,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,47.74,23.65,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Madhya Pradesh,All,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,56.45,32.95,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/All/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Madhya Pradesh,All,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,56.74,43.07,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/Large/number/SCvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,Large,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,37.36,55.07,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Madhya Pradesh/Large/number/SCvsST,AgCensus2015-16,T2-4,Madhya Pradesh,Large,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,1,0,0,diff,b,,,,percent,SYNTHETIC,27.84,53.88,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Madhya Pradesh/Large/number/STvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,Large,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,20.15,42.13,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Madhya Pradesh/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,21.74,46.13,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Madhya Pradesh/Marginal/number/STvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,Marginal,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,26.79,49.05,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Madhya Pradesh/Medium/number/SCvsST,AgCensus2015-16,T2-4,Madhya Pradesh,Medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,percent,SYNTHETIC,45.28,56.63,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Madhya Pradesh/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,43.97,62.38,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Madhya Pradesh/SC/area/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Madhya Pradesh,SC,area,MarginalvsSemi-medium,landholding,marginal operated area,semi-medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,57.23,60.07,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Madhya Pradesh/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Madhya Pradesh,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,77.6,48.79,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Madhya Pradesh,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,80.02,51.6,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Madhya Pradesh,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,67.98,41.76,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/SC/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Madhya Pradesh,SC,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,69.68,49.23,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/SC/number/SmallvsLarge,AgCensus2015-16,T2-4,Madhya Pradesh,SC,number,SmallvsLarge,landholding,small holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,55.0,40.15,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/SC/number/SmallvsMedium,AgCensus2015-16,T2-4,Madhya Pradesh,SC,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,59.83,35.5,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/SC/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Madhya Pradesh,SC,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,78.72,50.86,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/ST/number/MarginalvsLarge,AgCensus2015-16,T2-4,Madhya Pradesh,ST,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,76.78,47.25,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/ST/number/MarginalvsMedium,AgCensus2015-16,T2-4,Madhya Pradesh,ST,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,58.31,35.82,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/ST/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Madhya Pradesh,ST,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,57.63,34.31,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/ST/number/MarginalvsSmall,AgCensus2015-16,T2-4,Madhya Pradesh,ST,number,MarginalvsSmall,landholding,marginal holdings,small holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,69.01,48.41,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/ST/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Madhya Pradesh,ST,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,73.74,49.37,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/ST/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Madhya Pradesh,ST,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,48.58,20.85,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/ST/number/SmallvsMedium,AgCensus2015-16,T2-4,Madhya Pradesh,ST,number,SmallvsMedium,landholding,small holdings,medium holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,54.74,41.14,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/ST/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Madhya Pradesh,ST,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,78.94,51.77,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Madhya Pradesh/Semi-medium/number/SCvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,Semi-medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,55.39,85.29,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Madhya Pradesh/Semi-medium/number/SCvsST,AgCensus2015-16,T2-4,Madhya Pradesh,Semi-medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,1,0,0,1,diff,b,,,,percent,SYNTHETIC,57.1,81.33,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Madhya Pradesh/Semi-medium/number/STvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,Semi-medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,53.29,64.23,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Madhya Pradesh/Small/number/SCvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,Small,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,25.73,51.8,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Madhya Pradesh/Small/number/STvsOthers,AgCensus2015-16,T2-4,Madhya Pradesh,Small,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,47.03,70.89,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Maharashtra/All Classes/area/SCvsST,AgCensus2015-16,T2-4,Maharashtra,All Classes,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,56.5,57.99,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Maharashtra/All Classes/number/SCvsOthers,AgCensus2015-16,T2-4,Maharashtra,All Classes,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,43.3,55.58,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Maharashtra/All Classes/number/SCvsST,AgCensus2015-16,T2-4,Maharashtra,All Classes,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,51.14,51.49,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Maharashtra/All Classes/number/STvsOthers,AgCensus2015-16,T2-4,Maharashtra,All Classes,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,59.51,87.67,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Maharashtra/All/area/MarginalvsMedium,AgCensus2015-16,T2-4,Maharashtra,All,area,MarginalvsMedium,landholding,marginal operated area,medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,41.16,44.35,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Maharashtra/All/area/SmallvsSemi-medium,AgCensus2015-16,T2-4,Maharashtra,All,area,SmallvsSemi-medium,landholding,small operated area,semi-medium operated area,4,4,0,0,equal,c,,,,percent,SYNTHETIC,55.43,59.87,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Maharashtra/All/number/MarginalvsLarge,AgCensus2015-16,T2-4,Maharashtra,All,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,39.21,24.25,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Maharashtra/All/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Maharashtra,All,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,60.56,43.43,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Maharashtra/All/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Maharashtra,All,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,50.75,28.74,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Maharashtra/All/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Maharashtra,All,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,53.07,34.61,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Maharashtra/All/number/SmallvsLarge,AgCensus2015-16,T2-4,Maharashtra,All,number,SmallvsLarge,landholding,small holdings,large holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,81.12,57.46,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Maharashtra/All/number/SmallvsMedium,AgCensus2015-16,T2-4,Maharashtra,All,number,SmallvsMedium,landholding,small holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,56.08,40.69,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Maharashtra/All/number/SmallvsSemi-medium,AgCensus2015-16,T2-4,Maharashtra,All,number,SmallvsSemi-medium,landholding,small holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,77.73,50.33,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Maharashtra/Large/area/SCvsST,AgCensus2015-16,T2-4,Maharashtra,Large,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,47.21,49.11,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Maharashtra/Large/number/SCvsOthers,AgCensus2015-16,T2-4,Maharashtra,Large,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,1,0,0,diff,b,,,,percent,SYNTHETIC,58.5,75.46,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Maharashtra/Large/number/STvsOthers,AgCensus2015-16,T2-4,Maharashtra,Large,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,1,0,diff,b,,,,percent,SYNTHETIC,23.49,35.58,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Maharashtra/Marginal/area/SCvsST,AgCensus2015-16,T2-4,Maharashtra,Marginal,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,7,0,7,0,equal,c,,,,percent,SYNTHETIC,35.68,38.4,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Maharashtra/Marginal/number/SCvsOthers,AgCensus2015-16,T2-4,Maharashtra,Marginal,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,53.56,79.66,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Maharashtra/Marginal/number/SCvsST,AgCensus2015-16,T2-4,Maharashtra,Marginal,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,0,0,8,equal,c,,,,percent,SYNTHETIC,32.19,32.56,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Maharashtra/Medium/area/SCvsST,AgCensus2015-16,T2-4,Maharashtra,Medium,area,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,50.06,51.03,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Maharashtra/Medium/number/SCvsOthers,AgCensus2015-16,T2-4,Maharashtra,Medium,number,SCvsOthers,social_group,Scheduled Castes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,23.67,35.43,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Maharashtra/Medium/number/SCvsST,AgCensus2015-16,T2-4,Maharashtra,Medium,number,SCvsST,social_group,Scheduled Castes,Scheduled Tribes,8,8,0,0,equal,c,,,,percent,SYNTHETIC,53.32,56.51,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,equal,c,True
AgCensus2015-16 T2-4 Maharashtra/Medium/number/STvsOthers,AgCensus2015-16,T2-4,Maharashtra,Medium,number,STvsOthers,social_group,Scheduled Tribes,Other social groups,1,0,0,1,diff,b,,,,percent,SYNTHETIC,26.58,37.96,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,b,True
AgCensus2015-16 T2-4 Maharashtra/SC/number/MarginalvsLarge,AgCensus2015-16,T2-4,Maharashtra,SC,number,MarginalvsLarge,landholding,marginal holdings,large holdings,1,0,1,0,diff,a,,,,percent,SYNTHETIC,42.02,20.01,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Maharashtra/SC/number/MarginalvsMedium,AgCensus2015-16,T2-4,Maharashtra,SC,number,MarginalvsMedium,landholding,marginal holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,42.63,25.28,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Maharashtra/SC/number/MarginalvsSemi-medium,AgCensus2015-16,T2-4,Maharashtra,SC,number,MarginalvsSemi-medium,landholding,marginal holdings,semi-medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,59.67,38.48,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Maharashtra/SC/number/Semi-mediumvsLarge,AgCensus2015-16,T2-4,Maharashtra,SC,number,Semi-mediumvsLarge,landholding,semi-medium holdings,large holdings,1,1,0,0,diff,a,,,,percent,SYNTHETIC,68.7,42.35,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
AgCensus2015-16 T2-4 Maharashtra/SC/number/Semi-mediumvsMedium,AgCensus2015-16,T2-4,Maharashtra,SC,number,Semi-mediumvsMedium,landholding,semi-medium holdings,medium holdings,1,0,0,1,diff,a,,,,percent,SYNTHETIC,33.95,20.99,smoke-test fabrication; not a census value,SYNTHETIC_SMOKE_VALUE,,,,,,diff,a,True
